"id","posted_date","company_name","job_title","salary","position_level","qualification","years_of_experience","job_type","job_specialisation","industry","company_size","job_description","min_qualification","min_qualification_broad"
1000,"Posted on 20-Feb-22","CONTAINERS LINK LOGISTICS","Internship For Management Trainee","","Not Specified","Not Specified","","Internship","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
1015,"Posted on 3-Mar-22","J&T EXPRESS (MALAYSIA) SDN. BHD. -PENANG","Branding Assistant Manager","","Not Specified","Not Specified","","Full-Time","Sales/Marketing,Marketing/Business Dev","Transportation / Logistics","> 5000","","Not Specified","Not Specified"
1019,"Posted on 27-Feb-22","J&T EXPRESS (MALAYSIA) SDN. BHD. -PENANG","HR Admin","","Not Specified","Not Specified","","Full-Time","Admin/Human Resources,Human Resources","Transportation / Logistics","> 5000","","Not Specified","Not Specified"
1056,"Posted on 14-Feb-22","CEVA Logistics (Malaysia) Sdn Bhd","Regional Ocean Assistant Manager ( Budgets & Forecasting experience)","MYR�8,000 - MYR�10,000","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","501 - 1000","","Diploma","High-skilled"
1069,"Posted on 23-Feb-22","""K"" LINE LOGISTICS (M) SDN BHD","Ocean Operations Supervisor","MYR�2,000 - MYR�2,500","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Diploma","High-skilled"
1074,"Posted on 24-Feb-22","Transairmarine Freight Services Sdn Bhd","Logistic Customer Service Executive (PENANG)","","Junior Executive","Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma","1 year","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Primary/Secondary School/O Level","Low-skilled"
1075,"Posted on 16-Feb-22","Kuehne + Nagel Sdn Bhd","Road Logistics Operations Executive","","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","201 - 500","","Diploma","High-skilled"
1086,"Posted on 9-Mar-22","Fasttrack Logistics (M) Sdn Bhd","CUSTOMER SERVICE (SHIPPING & LOGISTICS)","MYR�2,500 - MYR�3,500","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","1 year","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Diploma","High-skilled"
1090,"Posted on 14-Mar-22","Toll Logistics (Asia) Limited","Operation Controller (Part-Time)","","Junior Executive","Primary/Secondary School/O Level","1 year","Full-Time","Admin/Human Resources,Clerical/Administrative Support,Services,Logistics/Supply Chain","Transportation / Logistics","201 - 500","","Primary/Secondary School/O Level","Low-skilled"
1091,"Posted on 9-Mar-22","Quanterm Logistics Sdn Bhd","OCEAN IMPORT EXPORT COORDINATOR/EXECUTIVE","MYR�2,000 - MYR�4,000","Senior Executive","Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","3 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","501 - 1000","","Primary/Secondary School/O Level","Low-skilled"
1117,"Posted on 21-Feb-22","Star Concord Logistics Sdn Bhd","Customer Service / Documentation","MYR�1,800 - MYR�3,000","Entry Level","Primary/Secondary School/O Level","1 year","Full-Time","Services,Customer Service","Transportation / Logistics","1 - 50","","Primary/Secondary School/O Level","Low-skilled"
1130,"Posted on 18-Feb-22","Target Airfreight (M) Sdn Bhd","CUSTOMER SERVICE (Executive)","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma","2 years","Full-Time","Services,Customer Service","Transportation / Logistics","51 - 200","","Diploma","High-skilled"
1132,"Posted on 18-Feb-22","Target Airfreight (M) Sdn Bhd","CUSTOMS DECLARATION ASSISTANT","","Junior Executive","Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Primary/Secondary School/O Level","Low-skilled"
1133,"Posted on 16-Feb-22","BDP (MALAYSIA) SDN. BHD.","Logistics Coordinator / Specialist / Executive","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Diploma","High-skilled"
1135,"Posted on 18-Feb-22","Integrated Cold Chain Logistics Sdn. Bhd.(Penang)","Logistics Analyst (Logistics Education Background)","MYR�3,000 - MYR�4,200","Non-Executive","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Not Specified","Not Specified"
1140,"Posted on 24-Feb-22","MSV INTERNATIONAL SDN. BHD.","Customer Service Executive","MYR�2,400 - MYR�2,700","Junior Executive","Not Specified","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1141,"Posted on 21-Feb-22","TIANYUN EXPRESS LOGISTICS SDN. BHD.","Customer Service","","Non-Executive","Not Specified","","Full-Time","Services,Customer Service","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1159,"Posted on 12-Mar-22","Toll Group","Manager BPO - ASEAN Region","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1161,"Posted on 11-Mar-22","Toll Group","CoE - Customer Service Executive","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1172,"Posted on 10-Mar-22","SCHENKER LOGISTICS","OPERATIONS ASSISTANT (PENANG BASED)","","Not Specified","Not Specified","","Contract","Manufacturing,Manufacturing","Transportation / Logistics","1001 - 2000","","Not Specified","Not Specified"
1174,"Posted on 12-Mar-22","Toll Group","CoE - Claims and Commercial Coordinator","","Not Specified","Not Specified","","Full-Time","Admin/Human Resources,Clerical/Administrative Support","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1177,"Posted on 10-Mar-22","Kuehne & Nagel","Air Logistics Pricing Specialist (Malaysia)","","Not Specified","Not Specified","","","Services,Logistics/Supply Chain","Transportation / Logistics","201 - 500","","Not Specified","Not Specified"
1178,"Posted on 12-Mar-22","Toll Group","Finance BPO Specialist","","Not Specified","Not Specified","","Full-Time","Accounting/Finance,General/Cost Accounting","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1207,"Posted on 21-Feb-22","MAGICAL LOGISTICS","SALES MANAGER","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1213,"Posted on 14-Feb-22","SH WORLDWIDE LOGISTICS SDN BHD","CUSTOMER SERVICE OFFICER","MYR�1,500 - MYR�2,500","Junior Executive","Not Specified","1 year","Full-Time","Services,Customer Service","Transportation / Logistics","201 - 500","","Not Specified","Not Specified"
1218,"Posted on 13-Mar-22","SCHENKER LOGISTICS","COORDINATOR, CUSTOMER SERVICES","","Not Specified","Not Specified","","Full-Time","Others,General Work","Transportation / Logistics","1001 - 2000","","Not Specified","Not Specified"
1228,"Posted on 19-Feb-22","Toll Group","HR Generalist","","Not Specified","Not Specified","","Full-Time","Admin/Human Resources,Human Resources","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1241,"Posted on 9-Mar-22","Hitachi Transport System (M) Sdn Bhd","LORRY DRIVER (PENANG)","","Not Specified","Not Specified","","Contract","Others,General Work","Transportation / Logistics","201 - 500","","Not Specified","Not Specified"
1251,"Posted on 4-Mar-22","Toll Group","Finance BPO Specialist","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1293,"Posted on 16-Feb-22","J&T EXPRESS (MALAYSIA) SDN. BHD.","Legal Manager","","Manager","Professional Certificate, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","5 years","Full-Time","Services,Lawyer/Legal Asst","Transportation / Logistics","> 5000","","Professional Certificate","High-skilled"
1313,"Posted on 23-Feb-22","CMS Logistics (M) Sdn Bhd","Logistics Customer Service cum Documentation","MYR�1,500 - MYR�2,800","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","1 year","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Diploma","High-skilled"
1330,"Posted on 8-Mar-22","""K"" LINE LOGISTICS (M) SDN BHD","SALES & MARKETING EXECUTIVE","MYR�2,500 - MYR�3,500","Junior Executive","Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Professional Certificate","High-skilled"
1332,"Posted on 4-Mar-22","CMS Logistics (M) Sdn Bhd","SENIOR OPERATION EXECUTIVE","MYR�2,500 - MYR�4,000","Senior Executive","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Diploma","High-skilled"
1344,"Posted on 7-Mar-22","Round-The-World Logistics Corp (M) Sdn Bhd","Sales Executive","MYR�3,000 - MYR�5,000","Junior Executive","Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Higher Secondary/STPM/'A' Level/Pre-U","Mid-skilled"
1369,"Posted on 11-Mar-22","SIRVA RELOCATION MALAYSIA SDN.BHD.","Global Mobility Specialist - Temp","","Junior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","3 years","Contract","Services,Customer Service","Transportation / Logistics","51 - 200","","Bachelor's Degree","High-skilled"
1385,"Posted on 17-Feb-22","Flash Express","District Manager","","Manager","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1001 - 2000","","Diploma","High-skilled"
1386,"Posted on 18-Feb-22","Shipco Transport Sdn. Bhd.","Customer Service Coordinator","MYR�2,000 - MYR�2,500","Junior Executive","Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma","1 year","Full-Time","Services,Customer Service","Transportation / Logistics","51 - 200","","Primary/Secondary School/O Level","Low-skilled"
1399,"Posted on 10-Mar-22","Federal Express Services (M) Sdn Bhd","Coordinator, Ocean Operations (Station in Penang)","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1001 - 2000","","Not Specified","Not Specified"
1409,"Posted on 23-Feb-22","Sankyu (M) Sdn Bhd","SALES EXECUTIVE","","Junior Executive","Bachelor's Degree, Post Graduate Diploma, Professional Degree","2 years","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","51 - 200","","Bachelor's Degree","High-skilled"
1413,"Posted on 9-Mar-22","ALTAIRAA GLOBAL","CUSTOMER SERVICE ASSISTANT","","Not Specified","Not Specified","","Contract","Services,Customer Service","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1445,"Posted on 6-Mar-22","ALTAIRAA GLOBAL","Processor","","Not Specified","Not Specified","","","Services,Armed Forces","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1490,"Posted on 23-Feb-22","MATRIX LEGEND INTERNATIONAL SDN BHD","Warehouse Operator","MYR�1,400 - MYR�1,800","Entry Level","Higher Secondary/STPM/'A' Level/Pre-U","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics",NA,"","Higher Secondary/STPM/'A' Level/Pre-U","Mid-skilled"
1494,"Posted on 28-Feb-22","CEVA Logistics (Malaysia) Sdn Bhd","Regional IT Manager (3PL Experience)","","Manager","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","5 years","Full-Time","Computer/Information Technology,IT-Software","Transportation / Logistics","501 - 1000","","Diploma","High-skilled"
1502,"Posted on 11-Mar-22","Pgeon Express Sdn. Bhd.","Sales Executive (Pgeon Store)","MYR�1,800 - MYR�3,600","Senior Executive","Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma","2 years","Full-Time","Sales/Marketing,Retail Sales","Transportation / Logistics","1 - 50","","Primary/Secondary School/O Level","Low-skilled"
1509,"Posted on 6-Mar-22","Toll Logistics (Asia) Limited","Account Payable","","Junior Executive","Diploma, Advanced/Higher/Graduate Diploma","1 year","Full-Time","Accounting/Finance,Banking/Financial,Services,Logistics/Supply Chain","Transportation / Logistics","201 - 500","","Diploma","High-skilled"
1519,"Posted on 11-Mar-22","Tri-Mode System (Penang) Sdn Bhd","Sales Executive","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","1 - 50","","Not Specified","Not Specified"
1582,"Posted on 8-Mar-22","YCH Distripark","HR OFFICER","","Not Specified","Not Specified","","Full-Time","Admin/Human Resources,Human Resources","Transportation / Logistics","201 - 500","","Not Specified","Not Specified"
1596,"Posted on 9-Mar-22","Hitachi Transport System (M) Sdn Bhd","ASSISTANT SUPERVISOR (PENANG)","","Not Specified","Not Specified","","Full-Time","Services,Logistics/Supply Chain","Transportation / Logistics","201 - 500","","Not Specified","Not Specified"
